Experiment,Dimensionality,Problem Size,Views,Constraints,Variant,Component,Time (microseconds)
3,2,1000000,2,BestLayoutsAnalytical,Experiment3,ISL Solve,47513
3,2,1000000,3,BestLayoutsAnalytical,BaseRAJA,Computation,45452
3,2,1000000,3,BestLayoutsAnalytical,HandTransformed,Computation,47941
3,2,1000000,3,BestLayoutsAnalytical,HandTransformed,Conversion,5513
3,2,1000000,3,BestLayoutsAnalytical,Experiment3,Computation,56016
3,2,1000000,3,BestLayoutsAnalytical,Experiment3,Conversion,10996
3,2,1000000,3,BestLayoutsAnalytical,Experiment3,Cost Estimation,1087
3,2,1000000,3,BestLayoutsAnalytical,Experiment3,ISL Space,13954
3,2,1000000,3,BestLayoutsAnalytical,Experiment3,ISL Func,11355
3,2,1000000,3,BestLayoutsAnalytical,Experiment3,ISL Solve,55853
3,2,1000000,3,BestLayoutsAnalytical,BaseRAJA,Computation,45816
3,2,1000000,3,BestLayoutsAnalytical,HandTransformed,Computation,45712
3,2,1000000,3,BestLayoutsAnalytical,HandTransformed,Conversion,6028
3,2,1000000,3,BestLayoutsAnalytical,Experiment3,Computation,55621
3,2,1000000,3,BestLayoutsAnalytical,Experiment3,Conversion,14639
3,2,1000000,3,BestLayoutsAnalytical,Experiment3,Cost Estimation,1051
3,2,1000000,3,BestLayoutsAnalytical,Experiment3,ISL Space,13919
3,2,1000000,3,BestLayoutsAnalytical,Experiment3,ISL Func,11171
3,2,1000000,3,BestLayoutsAnalytical,Experiment3,ISL Solve,55225
3,2,1000000,3,BestLayoutsAnalytical,BaseRAJA,Computation,46759
3,2,1000000,3,BestLayoutsAnalytical,HandTransformed,Computation,47949
3,2,1000000,3,BestLayoutsAnalytical,HandTransformed,Conversion,6096
3,2,1000000,3,BestLayoutsAnalytical,Experiment3,Computation,53269
3,2,1000000,3,BestLayoutsAnalytical,Experiment3,Conversion,12521
3,2,1000000,3,BestLayoutsAnalytical,Experiment3,Cost Estimation,1043
3,2,1000000,3,BestLayoutsAnalytical,Experiment3,ISL Space,13890
3,2,1000000,3,BestLayoutsAnalytical,Experiment3,ISL Func,11156
3,2,1000000,3,BestLayoutsAnalytical,Experiment3,ISL Solve,54853
