Experiment,Dimensionality,Problem Size,Views,Constraints,Variant,Component,Time (microseconds)
2,2,1000000,1,0,Experiment2,Cost Estimation,1543
2,2,1000000,1,0,Experiment2,ISL Space,11596
2,2,1000000,1,0,Experiment2,ISL Func,4000
2,2,1000000,1,0,Experiment2,ISL Solve,4670
2,2,1000000,1,0,BaseRAJA,Computation,766149
2,2,1000000,1,0,Experiment2,Computation,753218
2,2,1000000,1,0,Experiment2,Conversion,3
2,2,1000000,1,0,Experiment2,Cost Estimation,1193
2,2,1000000,1,0,Experiment2,ISL Space,7760
2,2,1000000,1,0,Experiment2,ISL Func,2722
2,2,1000000,1,0,Experiment2,ISL Solve,3357
2,2,1000000,1,0,BaseRAJA,Computation,752543
2,2,1000000,1,0,Experiment2,Computation,766805
2,2,1000000,1,0,Experiment2,Conversion,3
2,2,1000000,1,0,Experiment2,Cost Estimation,1191
2,2,1000000,1,0,Experiment2,ISL Space,7785
2,2,1000000,1,0,Experiment2,ISL Func,2707
2,2,1000000,1,0,Experiment2,ISL Solve,3349
2,2,1000000,1,1,BaseRAJA,Computation,767239
2,2,1000000,1,1,Experiment2,Computation,748938
2,2,1000000,1,1,Experiment2,Conversion,3
2,2,1000000,1,1,Experiment2,Cost Estimation,1580
2,2,1000000,1,1,Experiment2,ISL Space,11613
2,2,1000000,1,1,Experiment2,ISL Func,4016
2,2,1000000,1,1,Experiment2,ISL Solve,3103
2,2,1000000,1,1,BaseRAJA,Computation,768219
2,2,1000000,1,1,Experiment2,Computation,750035
2,2,1000000,1,1,Experiment2,Conversion,3
2,2,1000000,1,1,Experiment2,Cost Estimation,1496
2,2,1000000,1,1,Experiment2,ISL Space,11432
2,2,1000000,1,1,Experiment2,ISL Func,3962
2,2,1000000,1,1,Experiment2,ISL Solve,2941
2,2,1000000,1,1,BaseRAJA,Computation,765273
2,2,1000000,1,1,Experiment2,Computation,760499
2,2,1000000,1,1,Experiment2,Conversion,3
2,2,1000000,1,1,Experiment2,Cost Estimation,1549
2,2,1000000,1,1,Experiment2,ISL Space,11427
2,2,1000000,1,1,Experiment2,ISL Func,3961
2,2,1000000,1,1,Experiment2,ISL Solve,2957
2,2,1000000,1,2,BaseRAJA,Computation,759081
2,2,1000000,1,2,Experiment2,Computation,752019
2,2,1000000,1,2,Experiment2,Conversion,4
2,2,1000000,1,2,Experiment2,Cost Estimation,1523
2,2,1000000,1,2,Experiment2,ISL Space,11576
2,2,1000000,1,2,Experiment2,ISL Func,4011
2,2,1000000,1,2,Experiment2,ISL Solve,2054
2,2,1000000,1,2,BaseRAJA,Computation,762581
2,2,1000000,1,2,Experiment2,Computation,751927
2,2,1000000,1,2,Experiment2,Conversion,3
2,2,1000000,1,2,Experiment2,Cost Estimation,1529
2,2,1000000,1,2,Experiment2,ISL Space,11400
2,2,1000000,1,2,Experiment2,ISL Func,3968
2,2,1000000,1,2,Experiment2,ISL Solve,2072
2,2,1000000,1,2,BaseRAJA,Computation,771179
2,2,1000000,1,2,Experiment2,Computation,766841
2,2,1000000,1,2,Experiment2,Conversion,3
2,2,1000000,1,2,Experiment2,Cost Estimation,1583
2,2,1000000,1,2,Experiment2,ISL Space,11575
2,2,1000000,1,2,Experiment2,ISL Func,4003
2,2,1000000,1,2,Experiment2,ISL Solve,2082
2,2,1000000,1,3,BaseRAJA,Computation,764224
2,2,1000000,1,3,Experiment2,Computation,715679
2,2,1000000,1,3,Experiment2,Conversion,13099
2,2,1000000,1,3,Experiment2,Cost Estimation,1583
2,2,1000000,1,3,Experiment2,ISL Space,11658
2,2,1000000,1,3,Experiment2,ISL Func,4013
2,2,1000000,1,3,Experiment2,ISL Solve,1446
2,2,1000000,1,3,BaseRAJA,Computation,773567
2,2,1000000,1,3,Experiment2,Computation,729205
